id,name,code,measureName,is_ingredient
5176f6d4-005b-474e-9a5c-2ec489c1eecb,green buckwheat,50,,0
53b11be9-e0da-4ab2-b591-98866fcdcde7,brioche bun,29,,0
b1597e39-7a29-473c-9360-9aaee4db0d03,You look pine smoothie,312,,0
c2ab25f8-7a42-4476-8e0d-f923011b5d11,apple cider,66,,0
fb212d1d-c545-46b5-8090-9c46adc59464,quinoa,13,,0
9a9a302a-a137-453a-aa4a-64a4a73fcc1a,apple,212,,0
f0656c16-77c7-4e9e-b805-4ae752fec90d,eral grey tea,251,,0
fa5a343c-e4e0-4046-a477-4bfb6e3a7288,chick peas,5,,0
3ef47eef-f991-413c-86ca-a0d9b6966526,leaf me alone smoothy,275,,0
98bf59d3-4a4c-4552-8993-df542da6df13,edible flowers,99,,0
0c1406a6-2f5d-403a-916b-402203d82d79,broccoli,67,,0
01a7ca2a-8fb6-4359-acd3-8b40e6e128f9,White sugar,38,,0
a39e8dd4-6749-4302-b10b-7804b8f0e8a3,peanut butter,172,,0
f9219c8f-c009-41e2-bc8a-a0cf567a8096,parmesan whole,19,,0
b00a1aa2-11aa-4947-9737-1d141388ed75,greek yogurt,158,,0
b5569fe0-b01c-4d93-82d6-b770f4b9c826,Sesame white,6,,0
a3e30c3b-d9f7-4630-9ead-11ccaf54432b,honey,39,,0
47b7614a-a86b-4cfb-a454-dde550a226bf,sesame black,100,,0
8c61fe2f-cc0f-4ff6-9f8b-a48f6b563ac2,salmon fillet,27,,0
c912f2de-de69-40ba-863b-97b6af9a0cae,rosemary ,148,,0
eb886780-3230-4139-9370-7f474b670f69,processed cheese,49,,0
91b6c537-c21b-4b94-90f2-db2737ce9e62,zucchini,22,,0
0a3697d0-6362-404b-89a7-cc6c57d1aa98,watermelon,266,,0
61aa6384-2fe2-4d0c-aad8-73c5d5dc79c5,chicken breast,14,,0
b0a091a1-5960-4da5-b5bc-779339c5d3e1,parsley,32,,0
4831917b-9563-41c8-a71a-345dfa3478fe,mushroom,71,,0
5cd43ac8-2354-496d-9eb2-e51c973ff97e,egg,3,,0
6e515eb5-06f5-4959-a492-db37d500c84e,croissant,63,,0
6264ae2f-d94f-4769-9ef0-b63431410f03,coffee beans,85,,0
ff3afd62-317e-4edc-8873-e6d5624c06fe,Garlic,9,,0
d75c00b6-209d-4be5-a0bc-46063091af5f,lime,8,,0
2c735e04-5760-4b4c-9fd5-3d07274a0cc2,dixi vinegar,52,,0
4b66663e-af84-42a1-a7fe-5e42ad908745,Dijon mustard,41,,0
c76d9dd3-2b1a-489a-99de-4168f2acc696,red wine,147,,0
b50a1e7f-007a-44d3-9430-561fd652eca9,carrot,141,,0
3a2907ac-77ee-485b-b46c-c92fcc810132,english spinach,73,,0
4d656af7-4b0c-45ae-919b-c5b38716b32f,whipped cream,101,,0
f89d184f-4440-498c-ad09-ff2ebba60b8d,red onion,37,,0
69a301fe-c94b-4b6a-acf8-412c69c4e480,tomatoes pelati,46,,0
8f96959f-0edc-4c29-8a49-7d0c458c76d9,AM to PM smoothy,276,,0
4a67a90d-7fe3-4961-8386-7fbd5219203b,lemon,15,,0
7090d4b9-daa3-47b7-8c3f-697ab70304cc,Romana,35,,0
bca23673-f459-413a-9630-910416f0bd7f,parmesan ground,20,,0
46f4fb46-0f68-4fe9-90bf-ac1c78476df7,oolong tea ,253,,0
bf6df0b6-50d1-4f37-ab65-b31cf3482bdd,soy sauce,51,,0
8829050a-dd2b-4258-9bbe-48f16065396e,microgreens,98,,0
3d9e9575-56a5-48f5-a5ab-bf361376f4e8,goji berry,283,,0
e8abc91b-51ad-4ab9-a1e8-c96f56f02971,paprika fresh,48,,0
88ae8118-65ae-45d3-b465-45da754bb662,tyme,33,,0
ed0ec442-ee00-4249-9f8e-2aa148818873,Mango,54,,0
e0ae02a7-1e01-4edb-8608-7b04a67adbf3,cucumber,59,,0
1a9b2e73-b14f-4a16-b738-70dd464d60c8,balsamic vinegar,60,,0
