name,id,code
PT. Langgeng Makmur Kencana,85b0d211-9924-41b6-97a1-161e85c4aae1,168
PT. Nirwana Alam Hijau,a16fffae-e833-4143-8e6b-b16db4aef7bd,115
PT. Rumah Mebel Nusantara,0aefe331-3228-4eb6-aa0b-29f286b3a57c,174
Pama DLG,fb1e4590-8fed-4802-8233-564e11bdb89b,156
Pande Agung Segara Dewata,c43c81c8-893d-4177-b210-57ee1ed969d3,107
Pepito Market,c24baa59-5686-49bd-8954-eec838e7f20d,90
Photo Studio Sanjiwani,1715db30-322e-4ed7-917a-7f2ed42e019e,131
Pralon,50dc1e1b-256f-49e2-921b-d09f2f8e6db9,154
Pt Aroma Duta Rasaparma,0ad38c6a-a67a-479b-888c-7abec0092805,77
Pt Bapak Roti,3ceb83ac-e968-4627-8388-ae24829a51d1,104
Pt bali boga sejati,bae535ae-90dd-4347-bf2c-5b00d5fd1353,78
Pt jayahans Sejahtera Abadi,969e972b-9639-4159-be50-6a6e45f02f59,135
Pt. Bintang internasional,cbd9db11-5d27-4444-9298-3ebe7bd06839,150
Pt. Detakama Bali,a57eccfe-9bb9-433e-9510-c31a7c7adb0f,31
Raja Niaga,f19169e7-c581-4448-b4ea-3a7f4b1c5700,133
Restu Ilhahi,064b2a76-cc5c-49f0-abc2-f16ed08835a8,98
Risaldi Mart,e3d5ab20-915d-485d-b88d-50daf78836d9,136
Samadi Supermarket,5b563e8a-a24d-4ab3-ae69-b6d457f0a398,117
Sari Jaya Garden,199384c2-5d0d-4030-94d1-f4bd438c6ae7,144
Semangat Baru,8f2e7d84-237b-4564-ac1e-671dd700e382,139
Shopee,63979974-b2f7-4951-af19-f7b31d5ea567,94
Sinar Padang Linjong,3781c379-ea0a-4b1d-85c3-563ebbde119f,116
Sinta Aircond,32e233e1-9c70-40ff-9db4-8a6ca76fc0eb,143
Sumber Alparia Trijaya,19e5cb06-1652-4d62-b3d5-1171a04575bd,159
Suparma tbk,f5a02177-182e-4821-93a1-36b266e8c367,54
Tagihan Jasa Kebersihan,95906b22-656a-4a0d-8009-22fc95bf920a,65
Takopedia,7cde54b7-2078-4b8a-a644-1766b333d2f1,75
Tea heaven indonesia,a80a3191-7d89-418b-8948-a387a4b60da8,130
Timan Stamp,fdf7d80c-ead9-46a1-8525-044eeabc672c,85
Titus builder,46e78b0a-5fd3-470a-b408-32097e767d6e,30
Toko Cat Warna Abadi,d4c0b3f8-ec98-46c6-9d14-9d88a7985796,146
Toko Dapur Pelita,f85e0e2b-ce31-4a63-b97a-cba9d3b75edc,147
